AURKA,BRAF,FGFR1,MAP3K7,MAPK15,MKNK1,PAK1,PAK3,PDPK1,PIK3CA,RET,RPS6KB1,SRC,STK11,TTK,smiles
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.CC(=O)NCCCS(=O)(=O)[O-]
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,*.CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C.CCOC(=O)[C@H](C)C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O.[Na+].[Na+].[Na+]
1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,*.CCCCCCCCNC(=N)NC(=N)NCc1ccc(Cl)c(Cl)c1.Cl
0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,*.CCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,*.CCCCNc1ccc(C(=O)OCCOC)cc1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*.CC[C@@H](NC(C)C)[C@@H](O)c1ccc(O)c2[nH]c(=O)ccc12.Cl
1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,*.CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
2,0,1,0,1,1,0,0,0,0,2,1,1,0,0,*.CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1.Cl
2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,*.CN1CCc2cc(Nc3ncc(C4CC4)c(NCCCNC(=O)C4CCC4)n3)ccc2C1
1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,*.CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)NCCCCCCNC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](C)NC)C1CCCCC1)C(c1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1)C1CCCCC1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.[Na+].[Na+]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.CO[C@@H]1O[C@H](COS(=O)(=O)O)[C@H](O)[C@H](O[C@@H]2O[C@H](C(=O)O)C(C)[C@H](O)[C@H]2O)[C@H]1NC(C)=O
1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,*.COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12.O=P(O)(O)O
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,*.CSC(=N)N
1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,*.C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,*.C[C@H](CCC(=O)NCCS(=O)(=O)[O-])[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O.[Na+]
1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,*.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)OCCO)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*.Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1
2,0,1,1,2,1,0,0,1,1,0,0,1,0,1,*.Cc1ncc(COP(=O)(O)O)c(C=O)c1O
0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,*.Cl.N[C@@H]1C[C@H]1c1ccccc1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.Cl.O=c1[nH]ccc2c(S(=O)(=O)N3CCCNCC3)cccc12
1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,*.NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1OC1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O.O
0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,*.NOCC(=O)O
1,0,2,1,1,0,0,1,1,0,1,1,1,0,0,*.Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O[Na])C(=O)O[Na])cc3)c[nH]c2[nH]1
0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,*.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
2,0,2,1,2,1,1,0,2,0,2,1,0,1,1,*.O=C(NCCCNc1nc(Nc2cccc(CN3CCOCC3)c2)ncc1C1CC1)C1CCC1
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,*.O=C(O)c1cc(=O)cc(C(=O)O)[nH]1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.O=C(O)c1cc(C(F)(F)F)ccc1N1CC[C@H](OCc2ccccn2)C1
1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,*.O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+].[Na+]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.O=C1[N-]S(=O)(=O)c2ccccc21.[Na+]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*.O=S(=O)([O-])CCCCOCC1OC2OC3=C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC1C(O)C2OCCCCS(=O)(=O)[O-])C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O.[Na+].[Na+]
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,*.O=S(=O)([O-])c1cc(O)ccc1O
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,*.OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,*.OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@]2(CO)O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,*[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Br.Br.Br.Br.Br.Br.c1ccc(CNCc2ccc(CN3CCCNCCNCCCNCC3)cc2)nc1
1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,Br.Br.NCCCCCNCC12CC3CC(CC(C3)C1)C2
2,1,2,2,1,2,1,1,2,1,2,2,2,2,2,Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Br.CCCc1cc(-c2nc(-c3ccc(C)cc3)cs2)ccn1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Br.CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@H](OC)[C@]34C1[C@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@@H]4[C@]1(O)[C@H]2OC
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Br.CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,Br.CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Br.CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(O)c1ccccc1)C2
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Br.CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@@H](O)C2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Br.CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Br.CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.O.O.O
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Br.COC(=O)C1=CCCN(C)C1
1,1,1,2,2,1,0,0,1,1,1,1,1,1,1,Br.COc1cc(Br)c(Nc2nc(-c3c(C)nc4ncccn34)cs2)c(Br)c1
0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3.O
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Br.COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Br.C[N+]1([O-])[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21.O
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Br.Cc1ccc(-c2cn3c4c(sc3n2)CCCC4)cc1
1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,Br.Cc1ccc(C(=O)Cn2c3c(sc2=N)CCCC3)cc1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Br.Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,Br.N#Cc1ccc(-c2csc(NN=C3CCCC3)n2)cc1
1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,Br.NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1
1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,Br.NCCc1cc(O)c(O)cc1O
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,BrC1C(Br)C(Br)C(Br)C(Br)C1Br
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brc1c(Br)c(Br)c2[nH]nnc2c1Br
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Brc1c(NC2=NCCN2)ccc2nccnc12
0,0,0,0,2,1,0,0,0,0,0,1,0,1,1,Brc1c(NC2=NCCN2)ccc2nccnc12.O=C(O)[C@@H](O)[C@@H](O)C(=O)O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brc1ccc([C@H]2CN3CCSC3=N2)cc1.O=C(O)C(=O)O
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Brc1ccc2[nH]ccc2c1
0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,C#CC(=O)O
0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,C#CCN(C)CCCOc1ccc(Cl)cc1Cl.Cl
1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,C#CCN(C)Cc1ccccc1.Cl
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C#CCN[C@@H]1CCc2ccccc21
1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,C#CC[C@H](c1nc2cc(Cl)ccc2c(=O)n1Nc1ccccc1)N(CCCN)C(=O)c1cccc(Cl)c1F
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4C[C@H]5CCN(C)[C@H]5C4)cc23)c1
1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1
1,1,1,1,1,2,0,0,1,1,1,1,1,0,0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCO)cc23)c1.Cl
1,1,1,0,1,2,0,0,1,1,1,1,1,0,0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
1,1,1,0,1,2,0,0,1,1,1,1,1,0,0,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl
0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C(/CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)nc1N)N(C=O)Cc1cnc(C)nc1N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C\C(=O)Nc1ccccc1C(=O)O)c1ccc2ccccc2c1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C\C(=O)OCCCCCCCCC(=O)O[Ca]OC(=O)CCCCCCCCOC(=O)/C=C(\C)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O.O.O
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C/C(=C\CNc1ncnc2[nH]cnc12)CO
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)CO
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C\CO)CCCC(C)CCCC(C)CCCC(C)C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O
1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,C/C(=N\NC(=S)N1CCC1)c1ccccn1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]1[C@@H](CO)O[C@H](n6cnc7cc(C)c(C)cc76)[C@@H]1O)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O.N#C[Co+2]
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,C/C1=C\CC(C)(C)/C=C/C(=O)/C(C)=C/CC1
1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,C/C1=C\CC[C@@]23O[C@@H]2[C@@H](OC3=O)c2c(C)coc2C1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C1=C\CC[C@H](C)C(=O)C[C@@H](C(C)C)C(=O)C1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C/C=C(/C)C(=O)O
0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,C/C=C(/C)C(=O)OC(=O)/C(C)=C\C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)OC(C)(C)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)O[C@@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)O[C@@H]1[C@H](OC(=O)CC(C)C)c2c(ccc3ccc(=O)oc23)OC1(C)C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)O[C@H]1Cc2cc3ccc(=O)oc3cc2OC1(C)C
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)O[C@H]1[C@@H](OC(=O)CC(C)C)c2c(ccc3ccc(=O)oc23)OC1(C)C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)O[C@H]1[C@H](OC(C)=O)[C@@]2(CO)C(CC1(C)C)C1=CCC3[C@@]4(C)CC[C@H](O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)C4CC[C@@]3(C)[C@]1(C)C[C@H]2O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C(/C)C(=O)O[C@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@H]1OC(=O)/C(C)=C\C
1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,C/C=C(/C)C(=O)O[C@H]1c2cc(OC)c(OC)c(OC)c2-c2c(cc3c(c2OC)OCO3)C[C@H](C)[C@]1(C)O
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,C/C=C(\C)C(=O)N[C@@H](c1ccccc1)[C@@H](O)C(=O)O[C@H]1C[C@@]2(O)[C@@H](OC(=O)c3ccccc3)[C@H]3[C@](C)(C(=O)[C@H](OC(C)=O)C(=C1C)C2(C)C)[C@@H](O)C[C@H]1OC[C@]13OC(C)=O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,C/C=C(\C)C(=O)O
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C/C#CC#CC(O)C(/C=C/CCCO)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,C/C=C/C=C/C(=O)O
1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,C/C=C/C[C@@H](C)[C@@H](O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C/c1cc(OC)c(OC)cc1OC
1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,C/C=C/c1cc(OC)c2c(c1)C(C)C(c1ccc(O)c(OC)c1)O2
1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,C/C=C/c1ccc(O)c(OC)c1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C/C=C/c1ccc(OC)cc1
0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,C/C=C1/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)OC)[C@H]1CC(=O)OCCc1ccc(O)c(O)c1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,C/C=C1/[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2
